epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1089.41,1.96246,2.73186,0.01644,0.57568,0.47871,0.50528,0.25628,1.9904,2.0328,0.01756,0.00999677,0.00333226,0.00999677,0.00333226,0.00999677,0.00333226,0.00999677,0.00333226
2,2145.94,1.91755,1.84561,0.01624,0.59846,0.51152,0.51202,0.1999,2.32566,1.9416,0.02035,0.0197988,0.0065996,0.0197988,0.0065996,0.0197988,0.0065996,0.0197988,0.0065996
3,3186.08,1.99904,1.9389,0.01726,0.56533,0.46127,0.46182,0.17302,2.38084,2.00655,0.02154,0.0294028,0.00980094,0.0294028,0.00980094,0.0294028,0.00980094,0.0294028,0.00980094
4,4218.08,2.01113,1.93037,0.01732,0.60418,0.50164,0.52043,0.19804,2.307,1.85946,0.02093,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,5195.53,1.91193,1.65431,0.01609,0.6599,0.55527,0.58738,0.26577,2.1653,1.64701,0.0188,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,6210.32,1.82755,1.45357,0.01504,0.67623,0.62181,0.6429,0.28869,2.14739,1.54587,0.01867,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,7493.25,1.7593,1.28425,0.01429,0.73009,0.61598,0.6751,0.31003,2.15461,1.44845,0.01903,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,8902.04,1.6893,1.14654,0.01355,0.76046,0.6414,0.70238,0.325,2.15387,1.35665,0.01874,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,10331.4,1.63237,1.0402,0.01296,0.78989,0.66067,0.72867,0.35314,2.11152,1.28388,0.0183,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,11737.1,1.57897,0.95178,0.01234,0.78369,0.6661,0.71811,0.33412,2.16125,1.3093,0.0189,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,13155.2,1.52827,0.87364,0.01186,0.78518,0.66989,0.72199,0.34933,2.1224,1.27591,0.0185,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,14660.9,1.48439,0.81224,0.01135,0.78879,0.68875,0.73188,0.33227,2.18704,1.30062,0.01925,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,16218,1.43947,0.7532,0.0109,0.77611,0.70015,0.73609,0.33054,2.19046,1.28855,0.01933,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,17797.6,1.40204,0.71122,0.01053,0.80307,0.7106,0.74626,0.35661,2.12199,1.26423,0.01881,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
