epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,189.098,2.00142,2.87622,1.60493,0.51442,0.3441,0.35286,0.17128,2.20473,2.47185,1.56191,0.00998708,0.00332903,0.00998708,0.00332903,0.00998708,0.00332903,0.00998708,0.00332903
2,370.416,1.95436,1.92956,1.51692,0.41908,0.26503,0.24869,0.10439,2.56356,2.73994,1.86782,0.0197892,0.0065964,0.0197892,0.0065964,0.0197892,0.0065964,0.0197892,0.0065964
3,534.181,2.05533,2.00984,1.61974,0.34824,0.25837,0.21194,0.08358,2.48295,3.29587,1.86526,0.0293933,0.00979778,0.0293933,0.00979778,0.0293933,0.00979778,0.0293933,0.00979778
4,713.193,2.02548,1.92565,1.61845,0.43238,0.35083,0.3216,0.10334,2.6635,2.25821,1.92316,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,887.411,1.90036,1.70477,1.52786,0.57478,0.44608,0.46016,0.18896,2.25183,1.93486,1.66199,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1059.31,1.81528,1.55922,1.46758,0.55975,0.45246,0.4567,0.18839,2.3928,1.94166,1.70275,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1239.35,1.74725,1.43196,1.41585,0.58002,0.48067,0.48666,0.23576,2.10808,2.05502,1.5175,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1414.96,1.68595,1.33789,1.37613,0.67091,0.50166,0.53963,0.20682,2.34271,1.68693,1.66184,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1577.44,1.63432,1.25507,1.34381,0.69608,0.5398,0.58683,0.27091,2.11998,1.51777,1.52108,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1756.83,1.59102,1.18544,1.31068,0.6892,0.55174,0.58742,0.24911,2.22493,1.52632,1.56462,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1934.41,1.55134,1.1259,1.2857,0.69105,0.56151,0.5993,0.25404,2.22538,1.50019,1.5572,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2099.87,1.5102,1.07143,1.25888,0.71921,0.59154,0.62979,0.29358,2.09255,1.42384,1.48462,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2280.45,1.47578,1.02571,1.23867,0.72515,0.58525,0.62859,0.27876,2.15147,1.4094,1.51785,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2463.45,1.44326,0.98348,1.21757,0.74053,0.58836,0.62838,0.27526,2.16996,1.41959,1.53467,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2627.21,1.41477,0.95404,1.20128,0.74587,0.5896,0.63077,0.27428,2.19768,1.41819,1.54187,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2801.61,1.38872,0.9202,1.18315,0.74769,0.59542,0.63928,0.27351,2.21784,1.38207,1.5651,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2977.39,1.36128,0.8899,1.16673,0.74728,0.60412,0.63941,0.27222,2.22602,1.38705,1.57341,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3140.44,1.33787,0.86837,1.15157,0.73295,0.6111,0.6469,0.28517,2.18389,1.38679,1.55036,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3299.29,1.31463,0.84405,1.13981,0.73232,0.61527,0.64703,0.28143,2.19988,1.38273,1.56561,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3469.54,1.29862,0.82319,1.1295,0.74167,0.61219,0.6439,0.27978,2.20994,1.38169,1.57374,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3642.38,1.27673,0.80536,1.11563,0.73816,0.61882,0.64487,0.28239,2.20638,1.37072,1.57475,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3799.31,1.26079,0.78857,1.10602,0.74518,0.61826,0.64591,0.28549,2.19924,1.36734,1.57418,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3967.26,1.24356,0.77547,1.09653,0.73903,0.62112,0.64858,0.28835,2.19196,1.3624,1.57203,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4146.18,1.22702,0.75714,1.08717,0.74116,0.62449,0.65062,0.28741,2.19268,1.36276,1.57317,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4315.24,1.2116,0.74481,1.07872,0.74997,0.62136,0.6508,0.28818,2.18954,1.35908,1.57337,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4483.44,1.19789,0.72727,1.06879,0.75265,0.61905,0.64994,0.28825,2.19119,1.3618,1.57587,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4655.52,1.18079,0.71472,1.06015,0.75049,0.62293,0.65165,0.28918,2.18921,1.36236,1.57574,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4832.22,1.16611,0.70303,1.05248,0.74915,0.62824,0.65196,0.28778,2.1964,1.36424,1.58162,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5000.23,1.15416,0.69336,1.04661,0.74552,0.62956,0.65215,0.28913,2.19522,1.36166,1.58317,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5171.25,1.14164,0.68512,1.03958,0.74966,0.62518,0.6518,0.28848,2.19943,1.36363,1.59025,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,5349.3,1.13267,0.67667,1.0351,0.75033,0.62482,0.65176,0.28937,2.19631,1.35886,1.58949,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,5529.15,1.11967,0.66814,1.02806,0.74973,0.62373,0.65185,0.29036,2.19413,1.35619,1.59156,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
