epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,927.328,1.89523,2.16378,1.64195,0.57191,0.47319,0.49265,0.24776,1.95613,1.84942,1.57823,0.00999354,0.00333118,0.00999354,0.00333118,0.00999354,0.00333118,0.00999354,0.00333118
2,1812.41,1.82534,1.70309,1.57673,0.64353,0.49121,0.52502,0.26532,1.98594,1.72553,1.62367,0.0197956,0.00659853,0.0197956,0.00659853,0.0197956,0.00659853,0.0197956,0.00659853
3,2723.83,1.87591,1.75781,1.62986,0.54584,0.45266,0.4625,0.21053,2.168,1.92117,1.7469,0.0293997,0.00979989,0.0293997,0.00979989,0.0293997,0.00979989,0.0293997,0.00979989
4,3635.48,1.85437,1.70661,1.63254,0.64964,0.51766,0.55022,0.26383,2.01571,1.68351,1.63418,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,4544.37,1.68927,1.40677,1.51431,0.71901,0.60225,0.64252,0.34417,1.83069,1.42292,1.53375,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,5453.78,1.55746,1.19913,1.42173,0.77377,0.6335,0.70017,0.38187,1.7958,1.28607,1.50338,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,6370.08,1.44815,1.03167,1.3467,0.79503,0.67237,0.73387,0.42428,1.7134,1.22051,1.46785,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,7281.49,1.35214,0.90628,1.28187,0.80507,0.68427,0.7402,0.41873,1.71161,1.18121,1.47442,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,8221.78,1.2706,0.81081,1.22817,0.82691,0.69953,0.76279,0.44406,1.6592,1.11063,1.44424,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,9192.2,1.19725,0.73929,1.18124,0.82731,0.7091,0.76641,0.46381,1.61533,1.09703,1.4451,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,10102.4,1.1359,0.67914,1.14175,0.84764,0.70684,0.77481,0.4714,1.60402,1.05542,1.44819,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,11039.8,1.08305,0.63666,1.10733,0.81881,0.7323,0.77251,0.47259,1.60194,1.04647,1.46332,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,11973.9,1.03657,0.59992,1.08056,0.8292,0.73703,0.7776,0.47729,1.59466,1.04355,1.46892,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,12919,0.99481,0.57014,1.05468,0.85035,0.7318,0.7776,0.47691,1.57935,1.0272,1.47667,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,13870.5,0.95843,0.54402,1.03319,0.83267,0.7435,0.77817,0.48101,1.57285,1.02825,1.48345,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,14812,0.9282,0.52414,1.01625,0.86162,0.73137,0.7777,0.4859,1.55914,1.02266,1.4908,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,15771.4,0.89836,0.50478,0.99967,0.86753,0.73028,0.7762,0.48175,1.55867,1.01533,1.5015,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,16726.4,0.87344,0.48998,0.98522,0.85121,0.74188,0.77416,0.48368,1.55442,1.01786,1.508,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,17683.9,0.84901,0.47518,0.9721,0.84127,0.75471,0.7738,0.48456,1.54701,1.00967,1.51172,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,18654.8,0.83275,0.46425,0.9633,0.84802,0.74783,0.77442,0.48431,1.55151,1.01448,1.52438,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,19629.7,0.81016,0.45298,0.95158,0.86323,0.73968,0.77622,0.48806,1.54171,1.01958,1.52637,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,20589.6,0.79419,0.44175,0.94343,0.85524,0.73835,0.77403,0.48791,1.53778,1.01924,1.52807,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,21549.9,0.77839,0.43152,0.93602,0.85653,0.7371,0.77225,0.48777,1.53544,1.0208,1.53233,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,22519.6,0.76299,0.42332,0.92874,0.85819,0.73561,0.77253,0.48913,1.53333,1.01909,1.53421,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,23483.3,0.74979,0.41559,0.92135,0.85972,0.73614,0.77298,0.48757,1.52884,1.02224,1.53379,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,24429.2,0.73511,0.40779,0.91574,0.85475,0.74211,0.77265,0.48624,1.52905,1.02607,1.53712,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,25406.8,0.72268,0.40135,0.91056,0.85087,0.74591,0.77157,0.48652,1.52893,1.02793,1.5404,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,26341.5,0.71086,0.39246,0.90439,0.84767,0.74689,0.77062,0.48683,1.52739,1.03109,1.54222,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,27259.9,0.70116,0.3876,0.90024,0.85664,0.74189,0.76992,0.48595,1.52502,1.03375,1.54491,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,28161.5,0.68817,0.38199,0.89446,0.85112,0.74469,0.7698,0.48491,1.52542,1.03906,1.54872,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,29031.3,0.67889,0.37613,0.89121,0.84718,0.74562,0.76883,0.48601,1.5252,1.03935,1.55157,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,29913,0.66745,0.37001,0.8869,0.84542,0.74766,0.76827,0.48557,1.52334,1.04111,1.55441,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,30784.6,0.65988,0.36631,0.88347,0.83689,0.74845,0.76594,0.48495,1.52165,1.04682,1.55553,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,31651.1,0.64859,0.36017,0.87916,0.84482,0.74361,0.76185,0.48529,1.52103,1.04831,1.55604,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,32494.8,0.64201,0.35673,0.8758,0.8404,0.74547,0.7601,0.48242,1.52286,1.04883,1.55988,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,33328.5,0.63151,0.35079,0.87255,0.83575,0.74618,0.75942,0.48255,1.52224,1.05339,1.56385,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,34156.2,0.62476,0.34674,0.8699,0.84126,0.74424,0.75852,0.48392,1.52021,1.05592,1.56559,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,34974.7,0.61671,0.34179,0.86679,0.8477,0.74143,0.75856,0.484,1.51978,1.05992,1.56752,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,35786.1,0.60886,0.33819,0.86391,0.8456,0.73971,0.75756,0.48393,1.51797,1.06028,1.56872,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,36602.9,0.60204,0.33365,0.86129,0.85229,0.73821,0.75685,0.48408,1.51766,1.06488,1.57092,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,37420.2,0.59354,0.32933,0.85862,0.85997,0.73731,0.75725,0.48407,1.51379,1.06619,1.57064,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,38214,0.58529,0.32597,0.85604,0.86276,0.73479,0.75938,0.48599,1.51043,1.06709,1.57137,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,38970,0.57716,0.3214,0.85253,0.86703,0.73325,0.75668,0.48608,1.50979,1.07124,1.57368,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,39711.7,0.57066,0.31753,0.85053,0.87025,0.73213,0.75619,0.48592,1.50703,1.07689,1.574,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
